facility_name,facility_type,county,latitude,longitude,open_year
Developmentally Disabled Clinic at Monroe Community Hospital,clinic,Monroe,43.112251,-77.616165,1933
Jewish Home of Rochester,nursing home,Monroe,43.104618,-77.577599,1920
Oneida Health Rehabilitation and Extended Care,nursing home,Madison,43.078709,-75.654625,1989
Fresenius Kidney Care - Wheatfield,clinic,Niagara,43.060204,-78.830307,2011
"Wehrle Drive ASC, LLC",clinic,Erie,42.95758,-78.70466,2022
Strong Memorial Hospital Ec,hospital,Monroe,43.115276,-77.596512,1926
Rochester Regional Health Home Care,other,Monroe,43.092171,-77.582054,
Primary Care Center-West,hospital,Onondaga,43.043354,-76.159073,1995
Sunnyview Hospital and Rehabilitation Center,hospital,Schenectady,42.82206,-73.913651,
Camden Family Care,hospital,Oneida,43.333903,-75.751011,2014
GuildCare Albany,clinic,Albany,42.77153,-73.759177,2017
WNY Medical Management - Sheridan Drive,clinic,Erie,42.981163,-78.818613,2019
Trustees of the Eastern Star Hall and Home of the State of New York,nursing home,Oneida,43.164825,-75.339493,
Mohawk Valley Eye Surgery Center,clinic,Montgomery,42.973042,-74.188293,2013
Planned Parenthood of Central and Western New York Mobile Van Services,clinic,Erie,42.94048,-78.83559,2006
Everett Road Surgery Center,clinic,Albany,42.694816,-73.771081,2019
"Maxim Of New York, Llc",other,Erie,42.877679,-78.857126,2004
Delaware Elementary School,clinic,Onondaga,43.039253,-76.172768,2006
Hometown Health Centers Mobile Dental Equipment,clinic,Schenectady,42.80111,-73.92832,2011
Unity Ob/Gyn at Clinton Crossings,hospital,Monroe,43.111588,-77.594467,
Trott Access Center,clinic,Niagara,43.099197,-79.05085,2005
Oneida Health Canastota-Lenox Family Care,hospital,Madison,43.078098,-75.752365,1997
Great Lakes Cancer Care,hospital,Erie,42.964818,-78.716539,2019
Heather Heights of Pittsford,other,Monroe,43.088072,-77.531694,
"Menorah Campus Adult Home, Inc.",other,Erie,43.015524,-78.786117,1994
"Trusted Care At Home, Llc",other,Monroe,43.199893,-77.599801,
Fox Run at Orchard Park,other,Erie,42.762962,-78.77293,2008
Nottingham RHCF,nursing home,Onondaga,43.010296,-76.086212,1996
Alcoholism Rehabilitation,hospital,Montgomery,42.94146,-74.194885,1985
Hamilton Home Care,other,Onondaga,43.003668,-75.977226,2016
Outpatient Psychiatric Clinic,hospital,Monroe,43.150387,-77.635338,
Coram Healthcare Corporation Of Greater New York,other,Erie,42.98831,-78.80053,2012
Park Ridge Mental Health,hospital,Monroe,43.184101,-77.687035,
Tountas Diagnostic&Family Care Center,hospital,Monroe,42.975445,-78.002251,
Acacia Licensed Home Care Company,other,Oneida,43.089096,-75.189316,2004
The Grand Rehabilitation and Nursing at Utica,nursing home,Oneida,43.091022,-75.256882,1989
Neighborhood Health Center Bridgeview,clinic,Erie,42.91216,-78.90044,2022
Depaul Home Care,other,Monroe,43.063739,-77.650281,
Rochester General Imaging at Alexander Park,hospital,Monroe,43.14917,-77.597397,1847
"Elderchoice, Inc.",other,Onondaga,43.034,-76.45194,2014
St. Peter's Hospital Spine & Neurosurgery,hospital,Albany,42.770695,-73.821442,2011
Wedgewood Nursing and Rehabilitation Center,nursing home,Monroe,43.192566,-77.802086,
"Home Aide Service Of The Central Adirondacks, Inc.",other,Herkimer,43.708334,-74.970877,1988
UHCC Manlius Physical Med & Rehab,hospital,Onondaga,43.000942,-75.979752,1998
FKC - Latham Dialysis Center,clinic,Albany,42.77153,-73.759177,2018
"Briarwood Manor, Inc.",other,Niagara,43.153362,-78.669128,1998
Brothers of Mercy Sacred Heart Home,other,Erie,42.969451,-78.59271,2020
Clinton Crossing Nuclear Cardiology,hospital,Monroe,43.112175,-77.597466,
Wolk Manor Enriched Living Center,other,Monroe,43.10623,-77.58406,
Brookdale Bellevue,other,Onondaga,43.025696,-76.215347,1983
MVHS Oneida Medical Office,hospital,Madison,43.094943,-75.651522,2018
Apex Surgical Center,clinic,Oneida,43.162643,-75.417513,2015
PEDS-ECMC Clinical Therapy Services,hospital,Erie,42.996326,-78.812805,2014
St. Elizabeth's Community Health System Campus,hospital,Oneida,43.08305,-75.26822,
Ambulatory Surgery Center of Western New York LLC,clinic,Erie,42.988639,-78.806505,1999
Onondaga County Department Of Health,other,Onondaga,43.045768,-76.148165,1990
Roswell Park Cancer Institute Niagara,hospital,Niagara,43.084652,-78.94072,2012
"Specialists' One-Day Surgery Center, LLC",clinic,Onondaga,43.051949,-76.057985,2002
"FInger Lakes Community Health, Inc.",clinic,Wayne,43.255342,-77.066957,2004
SMH Mobile Stroke Clinic,hospital,Monroe,43.12361,-77.62436,
Fredonia Place of Williamsville,other,Erie,42.967893,-78.751181,2021
RGH ILS Northpark Medical Clinic,hospital,Monroe,43.189476,-77.577446,
"Neighborhood Health Center of WNY, Inc.",clinic,Erie,42.949883,-78.888382,1987
Family Health Centers of Comm Mem Hosp,hospital,Madison,42.891239,-75.637856,1991
Wolcott Medical Center,hospital,Wayne,43.226799,-76.769073,1986
Elite Hhc Llc,other,Erie,42.89325,-78.87107,2019
Upper Hudson Planned Parenthood,clinic,Albany,42.680267,-73.790146,1979
Boonville Family Care,hospital,Oneida,43.482647,-75.328552,1995
Northwoods Rehabilitation and Nursing Center at Moravia,nursing home,Cayuga,42.714851,-76.422775,1989
St. Joseph's Dialysis - Seneca,clinic,Onondaga,43.168682,-76.240944,2009
Grand Island Primary Care Center,hospital,Erie,43.031863,-78.973196,2015
Peregrine Guilderland,other,Albany,42.684759,-73.904284,2003
Fiddlers Green Manor Rehabilitation and Nursing Center,nursing home,Erie,42.508789,-78.673546,1998
"Peregrine Homecare Strategies Of New York, Llc",other,Onondaga,42.94582,-76.397609,2008
Southtowns Surgery Center,clinic,Erie,42.763263,-78.761903,2016
St. Mary's Canajoharie Health Center,hospital,Montgomery,42.90691,-74.573975,1987
St Peters Addiction Recovery Center,hospital,Albany,42.775986,-73.700363,1991
Hometown Health Centers at Amsterdam,clinic,Schenectady,42.941162,-74.195648,2014
Mount St. Mary's Hospital Neurology Center,hospital,Niagara,43.128565,-79.006091,2016
Presbyterian Home for Central New York Inc,nursing home,Oneida,43.072346,-75.342911,
Syracuse Community Health Center West,clinic,Onondaga,43.041813,-76.163864,1995
Visiting Nurse Association of Utica and Oneida County Inc,other,Oneida,43.099613,-75.275528,
MVHS Orthopedic Group,hospital,Oneida,43.088413,-75.26101,2015
RPH-West,other,Monroe,43.120696,-77.809989,
"Planned Parenthood of Central and Western New York, Inc.",clinic,Erie,42.94048,-78.83559,2006
Acacia Certified Home Care Company,other,Oneida,43.08913,-75.189423,2004
Fairport Skilled Nursing and Rehab,nursing home,Monroe,43.109913,-77.441704,
Cohoes Family Care,hospital,Albany,42.775986,-73.700363,1996
Syracuse Community Health,clinic,Onondaga,43.039562,-76.150269,1979
Elderwood Assisted Living at West Seneca,other,Erie,42.831645,-78.777705,1998
Bassett Healthcare Network - Hamilton Madison Health Center,hospital,Madison,42.84255,-75.55359,1991
Elderwood at Williamsville,nursing home,Erie,42.996937,-78.731537,1989
Allergy and Immunology Clinic of AMCH,hospital,Albany,42.699394,-73.851748,2019
Community Care Home Health Services,other,Erie,42.93573,-78.84239,2018
Camillus Surgery Center,clinic,Onondaga,43.039978,-76.293015,2001
Roswell Park Scott Bieler Amherst Center,hospital,Erie,42.96385,-78.76431,2023
"Digestive Disease Center of Central New York, LLC",clinic,Onondaga,43.121746,-76.161598,2008
The Sentinel Of Amsterdam,other,Montgomery,42.938153,-74.193291,2017
US Renal Care Faxton Dialysis,clinic,Oneida,43.09087,-75.25748,2023
Brockport Family Medicine,hospital,Monroe,43.198414,-77.95005,
Sleep Disorder Center,hospital,Monroe,43.126027,-77.51692,
New England Laser & Cosmetic Surgery Center,clinic,Albany,42.765404,-73.810654,1999
Elderwood at Liverpool,nursing home,Onondaga,43.122807,-76.181442,1984
Outpatient Extension Clinic,hospital,Monroe,43.12332,-77.619767,
Stanley M Makowski Early Childhood Center,hospital,Erie,42.904278,-78.853905,2000
RGH PT OT / PM&R,hospital,Monroe,43.120018,-77.509216,
Unity Living Center,nursing home,Monroe,43.14901,-77.636139,
Geneva Adult Day Care at Waterloo,other,Seneca,42.901783,-76.846703,1998
Amedisys Home Health Care,other,Erie,42.97145,-78.73507,2005
The Unity Hospital of Rochester - St. Mary's Campus,hospital,Monroe,43.14912,-77.63615,1857
John James Audubon Elem. School 33,hospital,Monroe,43.169903,-77.571609,
Outpatient Psychiatry Clinic of AMCH,hospital,Albany,42.647071,-73.776529,2019
Oak Orchard Community Health Center,clinic,Monroe,43.220085,-77.950653,1966
Mercy Hospital - Mercy Hospital Orchard Park Division,hospital,Erie,42.781742,-78.77224,2007
"The Sentinel of Amsterdam, LLC",other,Montgomery,42.938153,-74.193291,2017
Finger Lakes Healthcare Mobile Dental Program,clinic,Wayne,43.25602,-77.069839,2007
Southtowns Health Center,hospital,Erie,42.763263,-78.761903,1998
St. Joseph's Dialysis - Northeast,clinic,Onondaga,43.040108,-76.022133,2009
Strong Infusion Center at Highland Hospital,hospital,Monroe,43.135769,-77.607544,1889
Park Terrace at Radisson,other,Onondaga,43.178253,-76.299818,2002
Upstate Home Care,other,Albany,42.72351,-73.85329,2018
Finger Lakes Center for Living,nursing home,Cayuga,42.942368,-76.565025,1995
St Joseph's Hosp Mental Health Center,hospital,Onondaga,43.055515,-76.141907,1995
Monroe Co Dept of Health Clinics,clinic,Monroe,43.15047,-77.63459,
MVHS Herkimer Medical Office,hospital,Herkimer,43.02639,-74.983688,1999
St Josephs Hospital Health Center-Asc,hospital,Onondaga,43.121719,-76.162109,2004
Juniper Glen Alzheimer's Special Care Center,other,Erie,43.008722,-78.69707,2017
ECMC Center for Dental Care,hospital,Erie,42.94842,-78.87957,2023
Focus Senior Living at Utica,other,Oneida,43.093128,-75.242348,1991
Mary M Parkes Center,hospital,Monroe,43.065769,-77.629646,
Heathwood Assisted Living at Penfield,other,Monroe,43.136965,-77.440144,
MVHS Washington Mills Medical Office,hospital,Oneida,43.053902,-75.271446,2001
Oneida County Health Department Mobile Unit,clinic,Oneida,43.10143,-75.2307,2024
St. Catherine Laboure Health Care Center,nursing home,Erie,42.92905,-78.849953,
Kirkhaven,nursing home,Monroe,43.151859,-77.595985,1984
Rahma Health Clinic,clinic,Onondaga,43.017967,-76.141777,2012
St. Peter's Amyotrophic Lateral Sclerosis Regional Center,hospital,Albany,42.702126,-73.825493,2006
Capital Region Ambulatory Surgery Center,clinic,Albany,42.685917,-73.813637,2000
Nursecore Of Rochester,other,Monroe,43.115371,-77.6631,
Unity Orthopedics at Chili,hospital,Monroe,43.130204,-77.690004,
North Ponds Family Medicine,hospital,Monroe,43.215105,-77.438153,
Mount St. Mary's Orthopedic Services,hospital,Niagara,43.15324,-79.029205,2011
Outpatient Extension Clinic-Gates,hospital,Monroe,43.147798,-77.708295,
Family Medicine at RIT,hospital,Monroe,43.089387,-77.668761,
Schofield Residence,nursing home,Erie,42.988373,-78.878601,
Tender Loving Family Care Inc.,other,Monroe,43.210536,-77.611744,
Van Duyn Center for Rehabilitation and Nursing,nursing home,Onondaga,43.005547,-76.166534,
Park Ridge Nursing Home,nursing home,Monroe,43.191551,-77.701538,
Dr. M.L. King Jr School #9,hospital,Monroe,43.167309,-77.610664,
Oneida Health Verona Family Care,hospital,Oneida,43.130727,-75.581211,2012
Wilkinson Residential Health Care Facility,nursing home,Montgomery,42.961201,-74.186272,
Loretto Village Apts. Enriched Housing Site #5,other,Onondaga,43.009219,-76.132868,1992
Samaritan Hospital - Albany Memorial Campus,hospital,Albany,42.674271,-73.749268,
HCR / HCR Home Care,nursing home,Onondaga,43.09513,-76.08171,1986
Oak Orchard Community Health Center,clinic,Orleans,43.240894,-78.202805,1979
Western Ny Care Services,other,Erie,42.751299,-78.762707,2019
Crouse Hospital - Commonwealth Division,hospital,Onondaga,43.099155,-76.098633,2009
Dr. Weeks Elementary School,clinic,Onondaga,43.055153,-76.133072,2002
Mary M Gooley Hemophilia Center,clinic,Monroe,43.192207,-77.584473,1959
Peregrine Delmar Place,other,Albany,42.618927,-73.842097,2004
"Rome Memorial Hospital, Inc - RHCF",nursing home,Oneida,43.229935,-75.443466,1980
Heathwood Assisted Living at Williamsville,other,Erie,43.000224,-78.739322,2011
FMS Kidney Care - Newark,clinic,Wayne,43.050077,-77.111281,2013
Wayne Health Care,nursing home,Wayne,43.062344,-77.109703,1988
FMS-Living Center,clinic,Monroe,43.06947,-77.444671,
Neighborhood Health Center Blasdell,clinic,Erie,42.796984,-78.822168,2017
Hillery Park Academy #27,hospital,Erie,42.861355,-78.810204,2002
Syracuse Surgery Center,clinic,Onondaga,43.107254,-76.159653,2012
U.S. Renal Care Hamburg Dialysis,clinic,Erie,42.77918,-78.81153,2021
Neighborhood Health Center Southtowns,clinic,Erie,42.732929,-78.842084,2000
Utica LHCSA LLC,other,Oneida,43.09315,-75.24237,2021
"Millard Fillmore Surgery Center, LLC",clinic,Erie,43.000877,-78.729836,2007
Friends for the Day,other,Wayne,43.060822,-77.098625,2012
Oak Orchard Community Health Center School Mobile Dental Van,clinic,Monroe,43.220085,-77.950653,1966
RRH Riedman Health Center,hospital,Monroe,43.197839,-77.577747,
Caregivers,other,Erie,42.980737,-78.842813,2000
Brookdale Niskayuna,other,Schenectady,42.801064,-73.897888,2012
Brookdale Niagara Assisted Living,other,Niagara,43.097489,-78.865318,2012
James Monroe High School,hospital,Monroe,43.14685,-77.59807,
Niagara Falls Kidney Care Center,clinic,Niagara,43.094048,-79.0504,2011
Eddy Village Green,nursing home,Albany,42.772724,-73.725082,1989
Sodus Health Center Clinic,hospital,Wayne,43.255447,-77.067009,
Faatz-Crofut Home for the Elderly,other,Cayuga,42.938189,-76.555464,1991
East Hill Family Medical Inc. - School-Based Mobile Dental Equipment Clinic,clinic,Cayuga,42.930389,-76.568802,2011
Samaritan OB/GYN,hospital,Albany,42.775986,-73.700363,1996
Oak Orchard Health Medina,clinic,Orleans,43.22052,-78.40347,2022
Intrepid Lane Ambulatory Surgery Center,clinic,Onondaga,43.00235,-76.12725,2022
"Loretto Adult Community, Inc.",other,Onondaga,43.010698,-76.089284,1992
Women and Children's Hospital of Buffalo - McKinley OB/GYN,hospital,Erie,42.779334,-78.812284,2013
SJEH Mobile Health Van,hospital,Albany,40.59866,-73.753,2024
Unity Family Medicine at Orchard Street,hospital,Monroe,43.158569,-77.634438,
Webster Family Medicine,hospital,Monroe,43.190704,-77.499455,
SJHHC Northeast Medical Center,hospital,Onondaga,43.039871,-76.022354,1999
Gorman Imaging Center,hospital,Madison,43.07695,-75.653519,2006
McHarrie Pointe,other,Onondaga,43.144165,-76.344282,2010
Upstate Campus East,hospital,Onondaga,43.091747,-76.059219,2010
Hometown Health Centers at Mont Pleasant Middle School,clinic,Schenectady,42.797945,-73.939193,2016
Highland Women's Health - Perinton,hospital,Monroe,43.079835,-77.440809,
"One Caring Place Plus, Inc.",other,Oneida,43.09027,-75.21213,2018
Health Force,other,Erie,42.87475,-78.84966,2006
Legacy at Cranberry Landing,other,Monroe,43.189273,-77.548839,
"Crane Home Care, Inc.",other,Erie,42.715847,-78.831034,2015
People Care Incorporated,other,Albany,40.62359,-73.99119,1990
Garden Home Care Llc,other,Erie,42.978352,-78.872579,2016
UR Medicine Urgent Care - Greece,hospital,Monroe,43.20758,-77.682432,
MVHS Sister Rose Vincent Family Medicine Center,hospital,Oneida,43.09428,-75.241844,1995
Albany Center for Independent Living,other,Albany,42.62575,-73.8038,2022
Daughters of Sarah Nursing Center,nursing home,Albany,42.699898,-73.851563,
Outpatient Extension Clinic,hospital,Monroe,43.08141,-77.63382,
Glendale Home-Schdy Cnty Dept Social Services,nursing home,Schenectady,42.873688,-73.908165,
Sage Harbor at Baywinde,other,Monroe,43.193024,-77.509008,
Medina Memorial Hospital SNF,nursing home,Orleans,43.223637,-78.397141,
Dialysis Center of Oneida,clinic,Madison,43.075838,-75.64312,2017
Unity Family Medicine at Parkway,hospital,Monroe,43.263565,-77.665222,
Mosaic Health Utica Dental,clinic,Oneida,43.086652,-75.257065,2019
Niagara Street Pediatrics,hospital,Erie,42.912072,-78.899919,2018
RGH Elderone Emerson Center Medical Clinic,hospital,Monroe,43.174125,-77.651481,
Herkimer County Public Health Nursing Service,clinic,Herkimer,43.028847,-74.98719,1979
Valley Home Care,other,Herkimer,43.045,-74.9586,2015
"Whitney M. Young Jr. Health Center, Inc. Mobile Van",clinic,Albany,42.662898,-73.747835,2014
Community Memorial Hospital - Cazenovia Family Health Center,hospital,Madison,42.922762,-75.812833,2016
"Independent Nursing Care, L.L.C.",other,Erie,42.732528,-78.680386,2004
UPSTATE Sleep Center,hospital,Onondaga,43.039978,-76.293015,2013
Sitrin Medical Rehabilitation Center,clinic,Oneida,43.05497,-75.228828,1997
The Grand Rehabilitation and Nursing at Guilderland,nursing home,Albany,42.702211,-73.961676,1989
Daniel Squire Oral D & T Center,clinic,Erie,42.955959,-78.820358,1996
Syracuse Community Health Center East,clinic,Onondaga,43.048176,-76.11618,1993
Little Falls Hospital St. Johnsville Health Center,hospital,Montgomery,42.997823,-74.678938,2019
FMS-Albany Regional Kidney Center,clinic,Albany,42.646759,-73.775688,1997
Rome Mem Hosp-1819 Black River Blvd,hospital,Oneida,43.235905,-75.436356,1996
Heritage Manor of Lockport,other,Niagara,43.16238,-78.66339,1989
Suburban Dialysis Center,clinic,Erie,42.990945,-78.761133,2012
UCVA Medical,hospital,Monroe,43.112314,-77.598292,
Outpatient Extension Clinic,hospital,Monroe,43.114094,-77.632821,
Mobile Dental Van,clinic,Monroe,43.220085,-77.950653,
St. Mary's Riverfront Mall,hospital,Montgomery,42.937401,-74.190903,2007
Highland Diabetes Health Source (DHS) and Nutrition Edge (NE),hospital,Monroe,43.112175,-77.597466,
"Loretto Adult Community, Inc.",other,Onondaga,43.13179,-76.164239,1992
The Hamlet,other,Monroe,43.196607,-77.701489,
Dolgeville Primary Care Center,hospital,Herkimer,43.103455,-74.771446,2004
Erie County Medical Center,hospital,Erie,42.92717,-78.829224,
Community Health Center of Buffalo,clinic,Erie,42.941837,-78.834381,2000
Visiting Angels,other,Albany,42.71728,-73.80821,2015
Right At Home Albany,other,Albany,42.71728,-73.80821,2018
Greenfield Court,other,Erie,42.894888,-78.631851,2001
Eastman Dental Center,clinic,Monroe,43.124374,-77.622765,1917
Wayne County Nursing Home,nursing home,Wayne,43.06424,-77.028801,
Regional Wound Care Center,hospital,Oneida,43.220039,-75.418999,2013
Roswell Park Mobile Extension Clinic,hospital,Erie,42.89854,-78.86501,2022
"Elderone, An Affiliate Of Rochester Regional Health",other,Monroe,43.18958,-77.577952,
Westfall Surgery Center,clinic,Monroe,43.111469,-77.592453,
Mercy Home Care Of Western New York,other,Erie,42.827364,-78.821102,2009
Golisano Autism Center,clinic,Monroe,43.11869,-77.61547,
Crimson Ridge Gardens,other,Monroe,43.25203,-77.67503,
Mercy Neurology Center,hospital,Erie,42.84911,-78.8141,2021
Ellis Hospital - Bellevue Woman's Care Center Division,hospital,Schenectady,42.793575,-73.879089,1979
RPH East,other,Monroe,43.067909,-77.406142,
Bassett Health-Herkimer Cardiac Rehab,hospital,Herkimer,43.025597,-74.998444,2006
The Grand Rehabilitation and Nursing at Rome,nursing home,Oneida,43.220272,-75.450333,1980
Henrietta Primary Care,hospital,Monroe,43.065896,-77.630849,
URMC Strong Urgent Care,hospital,Monroe,43.182137,-77.80574,
Endocrinology Clinic of AMCH,hospital,Albany,42.703463,-73.858028,2020
U.S. Renal Care Oneida Dialysis,clinic,Madison,43.09495,-75.65158,2023
Garden Gate Health Care Facility,nursing home,Erie,42.87645,-78.753273,1970
The Womens Center,hospital,Monroe,43.19281,-77.584511,
Wilmot Cancer Institute - Greece and Highland Breast Imaging - Greece,hospital,Monroe,43.191257,-77.701546,
Manlius Home for Adults,other,Onondaga,43.003668,-75.977226,1987
Cayuga County Department of Health,clinic,Cayuga,42.93151,-76.56724,1979
Sheridan Preparatory Academy,clinic,Albany,42.662018,-73.766685,2007
Strong Wound Center,hospital,Monroe,43.112461,-77.607056,
Upstate Home Care,other,Oneida,43.079486,-75.390954,1999
U.S. Renal Care Rome Dialysis,clinic,Oneida,43.23132,-75.42782,2023
Ellis Hospital Mental Health Clinic,hospital,Schenectady,42.801914,-73.92821,1992
Crouse Hospital,hospital,Onondaga,43.041107,-76.137932,
"Elderchoice, Inc.",other,Onondaga,43.04746,-76.15061,2010
Latta Road Nursing Home West,nursing home,Monroe,43.252987,-77.666794,
The Wellness Center at Oak Orchard,clinic,Orleans,43.241563,-78.203131,2019
HW Smith Elementary School,clinic,Onondaga,43.047588,-76.094757,2009
"Always Compassionate Home Care, Inc.",other,Monroe,43.15507,-77.61665,
Elderwood Home Care At Hamburg,other,Erie,42.718304,-78.829423,2013
Supportive Care of Orleans,other,Orleans,43.240658,-78.211777,1996
Terrace at Beverwyck,other,Albany,42.660286,-73.835365,1999
Newark-Wayne Community Hospital,hospital,Wayne,43.059728,-77.102244,
PACE Health Center Cheektowaga,hospital,Erie,42.911511,-78.797773,2019
"Optum Infusion Services 100, Inc.",other,Albany,42.64983,-73.75205,2002
Priority Cares Home Services LLC DBA Priority Cares,other,Monroe,43.14705,-77.60276,
Camillus Ridge Terrace,other,Onondaga,43.036769,-76.338797,2006
Hcr/Hcr Home Care,other,Monroe,43.097486,-77.616703,
Jericho Road Community Health Center,clinic,Erie,42.892925,-78.868549,2020
Myers Medical Office Building,hospital,Wayne,43.256245,-77.065659,2004
Evelyn Brandon Health Center,hospital,Monroe,43.166023,-77.624519,
St Johns Health Care Corporation,nursing home,Monroe,43.130035,-77.609718,
Westminster School (School 68),hospital,Erie,42.939404,-78.812599,1998
Ingersoll Place,other,Schenectady,42.780272,-73.887642,2008
St Peters Addiction Recovery Center,hospital,Albany,42.679539,-73.789314,1984
CareGivers,other,Schenectady,42.802416,-73.899899,2005
"Attentive Care Of Albany, Inc.",other,Albany,42.719107,-73.809089,1989
Angels In Your Home,other,Monroe,43.18616,-77.69334,
Ovid Community Health Center,clinic,Seneca,42.678326,-76.822464,2013
Woodside Manor Nursing Home Inc,nursing home,Monroe,43.110882,-77.597885,
MVHS East Utica Medical Office,hospital,Oneida,43.080975,-75.205551,2000
Brentland Woods,other,Monroe,43.046565,-77.624734,
St. Mary's Healthcare,hospital,Montgomery,42.953758,-74.216194,
Elderwood Home Care At Tonawanda,other,Erie,42.98872,-78.88788,2018
"Lockport Memorial Hospital, a Campus of Mount St Mary's",hospital,Niagara,43.14885,-78.70661,2023
Jordan at Threshold,clinic,Monroe,43.165611,-77.574829,1968
Brompton Heights,other,Erie,42.972944,-78.708178,1983
Faxton St Luke's Healthcare Campus,hospital,Oneida,43.09808,-75.27546,
UR Medicine Home Care,other,Monroe,43.201027,-77.497665,
Fbh Home Care Options,other,Monroe,43.110343,-77.439949,
MVHS Waterville Medical Office,hospital,Oneida,42.926826,-75.39138,2001
"Elite HHC, LLC",other,Onondaga,43.09734,-76.14498,2022
St. Ann's Adult Day Services at Durand,other,Monroe,43.225882,-77.547233,1873
Schoellkopf Health Center,nursing home,Niagara,43.094048,-79.0504,
Anthony L Jordan Health Center,clinic,Monroe,43.168159,-77.603317,1968
Franklin Magnet Elementary School,clinic,Onondaga,43.062378,-76.1465,2012
Moravia Health Center,clinic,Cayuga,42.712448,-76.422806,2003
Outpatient Extension Clinic-White Spruce,hospital,Monroe,43.102725,-77.617386,
University Health Care Center,hospital,Onondaga,43.047031,-76.14402,1995
"At Home Solutions, LLC",other,Albany,42.69314,-73.87329,2023
St. Peter's Addiction Recovery Center,hospital,Albany,42.701252,-73.904968,2012
Anchor Health Homecare Services INC,other,Albany,42.72202,-73.80756,2023
The Village at Towngate,other,Monroe,43.2055,-77.698393,
St Peters Hospital-SPARC,hospital,Albany,42.732956,-73.762428,2003
Oneida Health Sleep Center,hospital,Madison,43.077267,-75.65197,2012
Mount St. Mary's Primary Care Extension Clinic for Complete Senior Care Center,hospital,Niagara,43.101013,-79.052589,2010
Central Park Rehabilitation and Nursing Center,nursing home,Onondaga,43.033218,-76.14779,1989
Loudonville Assisted Living Residence,other,Albany,42.682006,-73.760483,1988
Maple West Medical Complex,hospital,Erie,42.990945,-78.761133,2015
Coram Healthcare Corporation Of Greater New York,other,Albany,42.77608,-73.69998,2012
Alcohol Outpatient Clinic,hospital,Oneida,43.21279,-75.461132,1995
"New Beginnings Home Care, Inc.",other,Cayuga,42.933792,-76.567343,2008
Newark Community Health Center,clinic,Wayne,43.047311,-77.110075,2014
The Pines at Utica Center for Nursing & Rehabilitation,nursing home,Oneida,43.086617,-75.254684,1989
Highland Family Medicine,hospital,Monroe,43.142391,-77.598907,
"Aurora Home Care, Inc.",other,Erie,42.964183,-78.738069,1995
MVHS Pulmonary Critical Care,hospital,Oneida,43.117237,-75.213051,1998
Depaul Home Care,other,Erie,42.871553,-78.755855,2009
Jennie B Richmond Chaffee Nursing Home Company Inc,nursing home,Erie,42.508579,-78.659195,
DCI - Mount Hope,clinic,Albany,42.631139,-73.772955,2019
UHCC-POB,hospital,Onondaga,43.041451,-76.137779,2002
Aaron Manor Rehabilitation and Nursing Center,nursing home,Monroe,43.121498,-77.441704,
Canterbury Woods Gates Circle,other,Erie,42.920002,-78.867043,2017
Downtown Dental Center,clinic,Monroe,43.157234,-77.606308,
Surgical Consultation Ext Clinic,hospital,Monroe,43.189716,-77.58432,
Community Health Center of Cheektowaga,clinic,Erie,42.945688,-78.765159,2016
St Anns Community,nursing home,Monroe,43.209,-77.469734,
Enrico Fermi Dental Clinic,clinic,Monroe,43.158569,-77.634438,
Schofield Residence,nursing home,Erie,42.972507,-78.878639,1985
Whitney M Young Jr. Dental Health Center,clinic,Albany,42.663231,-73.748124,2017
Highland Breast Imaging at Jordan and Highland Medical Imaging at Jordan,hospital,Monroe,43.168159,-77.603317,
Southtowns Dialysis Center,clinic,Erie,42.753494,-78.857552,2011
McAuliffe Health Center,clinic,Onondaga,43.086962,-76.072515,1984
"People Home Health Care Services - Licensed, Inc.",other,Erie,42.9733,-78.80524,1993
Physical Medicine and Bariatrics Clinic of AMCH,hospital,Albany,42.629848,-73.808126,1998
Community Memorial Hospital Inc,hospital,Madison,42.814011,-75.541962,
UPSTATE University Hospital at Community General,hospital,Onondaga,43.007816,-76.17025,
Outpatient Cardiology Clinic,hospital,Monroe,43.196109,-77.590151,
Whitney M Young Methadone Rehab Clinic,clinic,Albany,42.703697,-73.80761,1979
"Maxim Of New York, Llc",other,Monroe,43.158572,-77.614606,
Heritage One Day Surgery,clinic,Onondaga,43.122902,-76.136024,2012
"Oneida Health Roswell Park Oncology, LLC",clinic,Madison,43.077592,-75.651975,2019
Harvey Austin School #97,hospital,Erie,42.903786,-78.819626,2005
"Evergreen Place, Enhanced, Assisted Living & Memory Care",other,Monroe,43.222662,-77.942017,
Ellicott Center for Rehabilitation and Nursing,nursing home,Erie,42.890366,-78.883644,1989
Buffalo Hearing and Speech Center,clinic,Erie,42.978493,-78.738914,1999
St. Mary's Rao Pavilion Health Center,hospital,Montgomery,42.96099,-74.18756,2022
Continuing Day Treatment/Partial Hospitalization Program,hospital,Monroe,43.195511,-77.604912,
Premier Ambulatory Surgery Center,clinic,Erie,42.727759,-78.889579,2018
Comforcare Senior Services - Rochester East,other,Monroe,43.102078,-77.536775,
WoW (Whitney on Wheels) 2.0,clinic,Albany,42.65783,-73.7447,2022
The Terrace at Glen Eddy,other,Schenectady,42.776093,-73.878271,2002
Home Care Preferred,other,Monroe,43.148955,-77.596915,
All Metro Health Care,other,Albany,42.6673,-73.755936,2011
Liberty Resources Family Health Center,clinic,Onondaga,43.060727,-76.133209,2015
