facility_name,facility_type,county,latitude,longitude,open_year
Montgomery Co Public Health Department,clinic,Montgomery,42.952969,-74.373688,1979
Schenectady Center for Rehabilitation and Nursing,nursing home,Schenectady,42.792469,-73.933044,1989
HIV Medicine Clinic of AMCH,hospital,Albany,42.647969,-73.777321,2019
Oak Orchard Community Health Center,clinic,Orleans,43.319138,-78.388695,2009
"Buffalo Surgery Center,LLC",clinic,Erie,42.978713,-78.788207,2000
Symphony Manor at Lancaster,other,Erie,42.898517,-78.664102,1990
Ashley Woods,other,Monroe,43.1516,-77.43707,
Unity Specialty Hospital,hospital,Monroe,43.14901,-77.636139,
Seneca Ridge Medical Complex,hospital,Monroe,43.195236,-77.608551,
Coram Healthcare Corporation Of Greater New York,other,Onondaga,43.05533,-76.18612,2012
Caregivers,other,Onondaga,43.09804,-76.19875,2000
"People, Home Health Services-Certified, Inc",other,Erie,42.9733,-78.80524,1995
Whitney M Young Jr Health Center Inc,clinic,Albany,42.662682,-73.748375,1979
"Briarwood Manor, Inc.",other,Niagara,43.153688,-78.66865,1987
Mercy Home Care Of Western New York,other,Erie,42.890446,-78.868265,2004
Eddy Seniorcare PACE Center,hospital,Schenectady,42.811867,-73.940422,1996
Monroe County Health Department Maternal And Child Health Services,other,Monroe,43.113973,-77.620499,
Shire Senior Living Home Care,other,Monroe,43.192609,-77.562945,
U.S. Renal Care St. Luke's Home Dialysis,clinic,Oneida,43.09808,-75.27546,2023
"Freedomcare, LLC",other,Albany,42.7337,-73.84756,2024
Greece Medical Group,hospital,Monroe,43.179549,-77.703596,
Niagara OB/GYN,hospital,Erie,42.899047,-78.890168,2017
Northtowns Ambulatory Surgery Center LLC,clinic,Erie,42.9962,-78.78131,2024
Peregrine Senior Living at Colonie,other,Albany,42.732569,-73.824121,2017
Henrietta Medical Center,hospital,Monroe,43.066818,-77.633508,
Beechwood Homes,nursing home,Erie,43.009171,-78.772995,1989
"Brighton Surgery Center,LLC",clinic,Monroe,43.115421,-77.595154,
Southview Internal Medicine,hospital,Monroe,43.110951,-77.594187,
WMY Seal a Smile Program,clinic,Albany,42.661339,-73.748909,2004
Irondequoit Primary Care,hospital,Monroe,43.210453,-77.603996,
Brookdale East Side,other,Onondaga,43.025967,-76.026651,1983
McCree McCuller Wellness Center NE,hospital,Monroe,43.191574,-77.584282,
Madison County Department Of Health,other,Madison,43.0776,-75.7072,2012
Unity at Ridgeway,hospital,Monroe,43.210129,-77.699257,
Williamsville Suburban LLC,nursing home,Erie,42.956402,-78.75489,1989
Albany Regional Eye Surgery Center,clinic,Albany,42.762611,-73.748634,2001
Jericho Road Community Health Center,clinic,Erie,42.917721,-78.894379,2013
"Behr'S Homecare, Llc",other,Oneida,43.046947,-75.283677,2017
Trillium Health Mobile Unit,clinic,Monroe,43.118611,-77.612181,1989
Brookdale Kenmore,other,Erie,42.965075,-78.869892,2012
"Maxim Of New York, Llc",other,Albany,42.721388,-73.801433,2004
Canterbury Woods,nursing home,Erie,42.99649,-78.722878,1999
Eastern Star Home,other,Oneida,43.16416,-75.33854,2021
Outpatient Extension Clinic,hospital,Monroe,43.250453,-77.694558,
"Endoscopy Center of Niagara, LLC",clinic,Niagara,43.086246,-78.940697,2014
Health Reach - Health Care for the Homeless,hospital,Monroe,43.14824,-77.59628,
The Bixby Home,other,Seneca,42.620002,-76.725602,2007
Planned Parenthood Amsterdam Health Center,clinic,Oneida,42.974472,-74.187447,2008
Oneida County Health Department,clinic,Oneida,43.099213,-75.224884,2000
Menorah Campus Health Services,clinic,Erie,43.015785,-78.782272,2012
Heritage Manor of Ransomville Assisted Living Program,other,Niagara,43.244638,-78.908657,1986
"Heathwood Assisted Living At Williamsville, Inc.",other,Erie,43.000224,-78.739322,2014
"Aftercare Nursing Services, Inc.",other,Erie,42.90026,-78.67097,1990
VNA Home Health,nursing home,Albany,42.678467,-73.795662,1983
Nascentia Health at Home,other,Onondaga,43.053761,-76.172157,
Planned Parenthood of Central and Western New York,clinic,Erie,42.839748,-78.772827,2006
UR Medicine Urgent Care - Henrietta,hospital,Monroe,43.08762,-77.59461,
Glenmere at Cloverwood,other,Monroe,43.08423,-77.545065,
Niagara Falls Memorial Medical Center,hospital,Niagara,43.094048,-79.0504,
"Mary Agnes Manor, L.L.C.",other,Erie,42.901939,-78.890804,2011
Katherine Luther Residential Health Care and Rehabilitation Center,nursing home,Oneida,43.057526,-75.363594,1980
Tuscarora Health Center,hospital,Niagara,43.159481,-78.943268,1992
Jericho Road Community Health Center Vive Clinic,clinic,Erie,42.9143,-78.86548,2025
The Courtyards LLC,other,Erie,42.753446,-78.824799,1986
Sunnyview Therapy Services,hospital,Albany,42.751701,-73.766205,2013
Planned Parenthood Schenectady Health Center,clinic,Schenectady,42.801655,-73.928139,1999
Orchard Park Dialysis Center,clinic,Erie,42.781647,-78.776512,2012
Highland Breast Care Center,hospital,Monroe,43.0658,-77.629601,
Outpatient Extension Clinic,hospital,Monroe,43.112751,-77.607627,
"Elderone, An Affiliate Of Rochester Regional Health",other,Monroe,43.205058,-77.599989,
McCree McCuller Wellness Center Mobile Van,hospital,Monroe,43.14901,-77.636139,
Cardiopulmonary Rehab,hospital,Onondaga,43.120728,-76.163551,1996
Newtown High School,clinic,Cayuga,40.740893,-73.874429,2016
"The Commons on St. Anthony, a Skilled Nursing & Short Term Rehabilitation Community",nursing home,Cayuga,42.917961,-76.581459,
Changing Seasons Home Care,other,Onondaga,43.027158,-76.014843,2016
St. Peter's Nursing And Rehabilitation Center,nursing home,Albany,42.653301,-73.805016,
Nathan Littauer Hospital Primary/ Urgent Care,hospital,Montgomery,42.96753,-74.18899,2021
Valley Health Services ADHC Little Falls,other,Herkimer,43.043964,-74.847458,2010
Complex Care Center,hospital,Monroe,43.16148,-77.566244,
Outpatient Extension Clinic,hospital,Monroe,43.122259,-77.488373,
RGH ILS Hudson Center Medical Clinic,hospital,Monroe,43.205322,-77.600601,
Lewiston Primary Care,hospital,Niagara,43.128594,-79.00609,2015
Glenwell,other,Erie,42.871553,-78.755855,1999
"EHS, Inc.",clinic,Erie,42.890602,-78.878502,1996
East Aurora Medical Center,hospital,Erie,42.764977,-78.60788,1991
"Any-Time Home Care, Inc.",other,Albany,42.698811,-73.811501,1991
United Memorial Medical Center Woman's Care Center,hospital,Orleans,43.207592,-78.398091,2012
Orleans County Health Department,clinic,Orleans,43.240555,-78.216614,
Internal Medicine and Pediatrics Clinic of AMCH,hospital,Albany,42.77426,-73.75122,2018
Univ Otolaryngology Assoc&Audiology,hospital,Monroe,43.112797,-77.597511,
Eddy Daybreak at Eddy Cohoes,other,Albany,42.772724,-73.725082,2008
Fox Run at Orchard Park,nursing home,Erie,42.764557,-78.774719,2008
Eddy SeniorCare,hospital,Albany,42.729371,-73.738968,2019
Jesse E Nash Health Center,clinic,Erie,42.885166,-78.84874,1995
Peregrine Senior Living at Onondaga Hill,other,Onondaga,43.0017,-76.19009,2018
Greece Chemical Dependency O/P,hospital,Monroe,43.191063,-77.701546,
Heritage Manor Of Ransomville Home Care,other,Niagara,43.244638,-78.908657,2013
Presbyterian Residential Community,other,Oneida,43.073601,-75.341659,1995
Freddie Thomas High School,hospital,Monroe,43.168003,-77.593788,
The Amberleigh,other,Erie,42.989495,-78.702524,2016
Option Care,other,Albany,42.64983,-73.75205,2018
Oneida Health Hospital,hospital,Madison,43.07869,-75.654449,1979
"CFDSHC, Inc.",clinic,Albany,42.629398,-73.766197,1987
Rochester Hearing and Speech Center - Webster Office,clinic,Monroe,43.21064,-77.442009,1922
Newark Manor Nursing Home Inc,nursing home,Wayne,43.062256,-77.100143,1989
The Terrace at Newark,other,Wayne,43.019457,-77.093424,2009
MVHS New Hartford Medical Office,hospital,Oneida,43.082912,-75.327164,2001
Sunnyview Audiology at Amsterdam,hospital,Montgomery,42.95892,-74.189034,2003
Ellis Medicine at Mohawk Harbor: Urgent and Primary Care,hospital,Schenectady,42.826179,-73.933738,2018
Shaker Place Rehabilitation and Nursing Center,nursing home,Albany,42.747261,-73.817245,
Eden Rehabilitation & Nursing Center,nursing home,Erie,42.658882,-78.895767,1988
Huntington Living Center,nursing home,Seneca,42.901783,-76.846703,1990
"Marquis Home Care, Llc",other,Albany,42.727281,-73.844998,2020
Lutheran Home of Central New York,other,Oneida,43.05644,-75.364326,1976
"The Community Hospice, Inc.",other,Albany,42.739996,-73.841022,1999
Children's Pavilion Upstate Medical University,hospital,Onondaga,43.04574,-76.13838,2024
Mobile Mammography Van,hospital,Schenectady,42.793575,-73.879089,2007
Loretto Geriatric Center Licensed Home Care Agency,other,Onondaga,43.116148,-76.144676,1989
Wynn Hospital,hospital,Oneida,43.10333,-75.23508,2023
Rochester Regional Health Hospice Care,other,Monroe,43.092171,-77.582054,
Synergy Bariatrics,hospital,Erie,42.962268,-78.756296,2015
Laurelwood at the Highlands,other,Monroe,43.085477,-77.498486,
FMS Southern Manhattan Dialysis Center - Monroe County,clinic,Monroe,43.214034,-77.440436,
"Sunset Nursing and Rehabilitation Center, Inc.",nursing home,Oneida,43.478821,-75.332718,1985
St. Peter's Hospital Executive Woods Cardiac Imaging Center,hospital,Albany,42.690231,-73.776682,2014
The Friendly Home,nursing home,Monroe,43.126938,-77.527718,1849
MVHS North Utica Medical Office,hospital,Oneida,43.117302,-75.21048,1998
MVHS Faxton Medical Campus,hospital,Oneida,43.090488,-75.25824,1979
Nascentia Independent Care,other,Onondaga,43.053778,-76.172258,1996
Sisters Health Center Caritas,hospital,Erie,42.915313,-78.784218,2019
Sisters Health Center Depew,hospital,Erie,42.924297,-78.696846,2003
The Children's Psychiatry Clinic Sweet Home Satellite,hospital,Erie,43.00012,-78.798865,2016
Cardiac Rehabilitation Clinic,hospital,Monroe,43.20224,-77.565788,
Aveanna Healthcare,other,Erie,42.956629,-78.710373,2002
St. Joseph's Dialysis - Regional,clinic,Onondaga,43.058708,-76.135658,2009
HCR / HCR Home Care,nursing home,Monroe,43.0975,-77.616798,
Trillium Health,clinic,Monroe,43.149521,-77.599014,1989
Orchard Heights,other,Erie,42.744259,-78.748343,1991
Genesee Health Service,hospital,Monroe,43.149998,-77.596962,1967
MVHS Little Falls Medical Office,hospital,Oneida,43.043316,-74.859558,2007
Cleve Hill Dialysis Center,clinic,Erie,42.957942,-78.818124,2005
Jewish Home Living Well Home Care,other,Monroe,43.10598,-77.57986,1920
Edna Tina Wilson Living Center,nursing home,Monroe,43.266117,-77.663773,
Planned Parenthood Rome Health Center,clinic,Oneida,43.231136,-75.44133,1979
Community Health Center of Niagara,clinic,Niagara,43.113036,-79.048565,2010
Comfort Keepers,other,Erie,42.80188,-78.741512,2015
Jordan Health at Volunteers of America,clinic,Monroe,43.168463,-77.625302,1968
Capital District Internal Medicine,hospital,Albany,42.680035,-73.834526,1996
Orleans Community Health Center,hospital,Orleans,43.241627,-78.165054,2012
"Lindsay House Surgery Center, LLC",clinic,Monroe,43.151005,-77.578384,
Mosaic Health Ilion,clinic,Herkimer,43.01537,-75.036523,2016
UPSTATE Medical Clay,hospital,Onondaga,43.18969,-76.24042,2025
Outpatient Oncology Clinic-Webster,hospital,Monroe,43.21514,-77.46305,
Alpine Rehabilitation and Nursing Center,nursing home,Herkimer,43.053211,-74.851563,1989
Mercy Comprehensive Care Center,hospital,Erie,42.872307,-78.864273,1994
Mohawk Valley Dialysis Center,clinic,Montgomery,42.960804,-74.184807,2012
Northern Erie Clinical Services,hospital,Erie,42.959305,-78.878807,1986
Masonic Care Community of New York,nursing home,Oneida,43.08913,-75.189423,
Unity Geriatric Associates,hospital,Monroe,43.182468,-77.69487,
"Health Association Of Niagara County, Inc.",other,Niagara,43.10102,-79.052606,1987
Orchard Rehabilitation & Nursing Center,nursing home,Orleans,43.213066,-78.370117,
Irondequoit Physical Therapy,hospital,Monroe,43.201909,-77.575655,
"Kingsway Home Care Services, Inc.",other,Schenectady,42.776421,-73.911441,1997
Independent Living Service Health Center,clinic,Onondaga,43.136869,-76.126795,1997
Woodward Health Center,clinic,Monroe,43.140572,-77.635941,
Oneida Health Chittenango Internal Medicine and Family Care,hospital,Madison,43.043396,-75.873856,2002
OH Wellness & Rehabilitation Center,hospital,Madison,43.0924,-75.652145,1999
Latta Road Nursing Home East,nursing home,Monroe,43.252987,-77.666809,
Internal Medicine Clinic of AMCH,hospital,Albany,42.700046,-73.852337,2019
Clyde Family Health Center,hospital,Wayne,43.084709,-76.872414,2005
Fairport Baptist Homes Adult Care Facility,other,Monroe,43.110343,-77.439949,
Roswell Park Cancer Institute,hospital,Erie,42.898525,-78.865013,
Brookdale Manlius,other,Onondaga,43.000305,-75.97873,2012
Baker Victory Healthcare Center,clinic,Erie,42.825882,-78.824112,1998
North Buffalo Medical Park,hospital,Erie,42.947815,-78.874954,1998
"The Cottages at Garden Grove, a Skilled Nursing Community",nursing home,Onondaga,43.043674,-76.136673,
Caledonia Family Medicine,hospital,Monroe,42.965843,-77.841751,
Option Care,other,Onondaga,43.099581,-76.181702,2003
Westside Sports Medicine,hospital,Monroe,43.18,-77.703697,
"Cedarbrook Village, Incorporated",other,Oneida,43.055828,-75.237972,2009
Willcare,other,Erie,42.95321,-78.71625,2011
Syracuse Community Health Center South,clinic,Onondaga,43.020695,-76.159477,1998
Harlem Road Ambulatory Surgery Center,clinic,Erie,42.92873,-78.78294,2022
Brockport Mental Health O/P,hospital,Monroe,43.21497,-77.935463,
South End Community Health Center,hospital,Albany,42.639912,-73.757797,
Cobbs Hill Manor,other,Monroe,43.13718,-77.579778,
Mobile Dental Unit 2,clinic,Erie,42.955111,-78.821079,2022
Penn Fair Medical & Pediatric,hospital,Monroe,43.130848,-77.439072,
The Village at Mill Landing,other,Monroe,43.231137,-77.701059,
Seneca Health Care Center,nursing home,Erie,42.83955,-78.782463,
Hillcrest Spring Residential Adult Care,other,Montgomery,40.920515,-73.814908,1994
Schofield Adult Day Health Care Program,other,Erie,42.872681,-78.863586,2007
Oak Orchard Community Health Center Medical Mobile Van,clinic,Monroe,43.22108,-77.95058,1966
UR Medicine Urgent Care Newark,hospital,Wayne,43.044286,-77.111046,2016
Home Instead Senior Care,other,Monroe,43.044824,-77.468162,
St Johnsville Rehabilitation and Nursing Center,nursing home,Montgomery,42.99902,-74.686768,1989
Mohawk Valley Endoscopy Center,hospital,Oneida,43.09043,-75.28506,2023
Blossom Health Care Center Inc,nursing home,Monroe,43.149281,-77.544769,
Morris Heights Health Center,clinic,Cayuga,40.853988,-73.907549,2021
St Peters Dental & Childrens Health Clinic,hospital,Albany,42.665779,-73.791122,2008
"Specialists' One-Day Surgery Center, LLC",clinic,Onondaga,43.127519,-76.115957,2019
Saunders Center for Orthopedics & Physical Performance,hospital,Monroe,43.08141,-77.63382,
UR Medicine Hospice,other,Monroe,43.201027,-77.497665,
"Seneca Nursing & Rehabilitation Center, LLC",nursing home,Seneca,42.906406,-76.846695,1989
"Cottrill'S Pharmacy, Inc.",other,Erie,42.750446,-78.747138,2015
Kenmore Mercy Hospital,hospital,Erie,42.977848,-78.878754,
"Kingsway Manor, LLC",other,Schenectady,42.775426,-73.913286,1991
McAuley Residence,nursing home,Erie,42.978001,-78.885818,
Sunnyview Therapy Services at 1450 Western Avenue,hospital,Albany,42.680745,-73.836817,2017
Koinonia Primary Care,clinic,Albany,42.665302,-73.768982,2012
Unity Health System Family Practice,hospital,Monroe,43.223164,-77.696732,
Buffalo General Medical Center,hospital,Erie,42.900394,-78.865707,1980
St. Mary's Healthcare - Amsterdam Memorial Campus,hospital,Montgomery,42.961201,-74.186272,
Nuclear Medicine Extension Clinic of AMCH,hospital,Albany,42.686205,-73.812889,2016
MVHS Imaging Services,hospital,Oneida,43.090973,-75.279434,2012
Albany Medical Center - South Clinical Campus,hospital,Albany,42.645485,-73.77829,1980
Broadway Wny,other,Erie,42.885107,-78.877363,2020
Sedgwick Heights,other,Onondaga,43.060389,-76.130475,1997
Daniel Squire Oral D & T Center - School-Based Mobile Dental Equipment Clinic,clinic,Erie,42.954535,-78.817461,2011
Prime Care,hospital,Oneida,43.211182,-75.458595,1999
Colonial Park Rehabilitation and Nursing Center,nursing home,Oneida,43.217644,-75.436157,1980
Lock City Dialysis,clinic,Niagara,43.183455,-78.696056,2019
"Marquis Certified Home Care, LLC",other,Albany,42.727281,-73.844998,2000
United Cerebral Palsy Association of the Rochester Area Inc,clinic,Monroe,43.125015,-77.612144,1946
Latham Primary Care Associates,hospital,Albany,42.732399,-73.732597,2014
Bay Creek Dialysis Center,hospital,Monroe,43.195141,-77.50103,
Self-Direct Inc.,other,Onondaga,43.145528,-76.325129,2008
Our Lady of Peace Nursing Care Residence,nursing home,Niagara,43.153564,-79.038345,2003
